"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"11203@A03","GHR-11203@A03","ZK84.3","WBGene00002088","ins-5","ZK84.3, ins-5, CELE_ZK84.3",NA,NA,NA
"11203@A04","GHR-11203@A04","K07E8.1","WBGene00019494",NA,"K07E8.1, CELE_K07E8.1",NA,NA,NA
"11203@A05","GHR-11203@A05","C46E10.8","WBGene00016712",NA,"C46E10.8, CELE_C46E10.8",NA,NA,NA
"11203@A06","GHR-11203@A06","C09H10.1","WBGene00004455","rpl-42","C09H10.1, rpl-42, CELE_C09H10.1",NA,NA,NA
"11203@A07","GHR-11203@A07","C32B5.8","WBGene00016301","fbxc-6","C32B5.8, fbxc-6, CELE_C32B5.8",NA,NA,NA
"11203@A08","GHR-11203@A08","C08E3.5","WBGene00015597","fbxa-162","C08E3.5, fbxa-162, CELE_C08E3.5",NA,NA,NA
"11203@A09","GHR-11203@A09","B0432.4","WBGene00015186","misc-1","B0432.4, misc-1, CELE_B0432.4",NA,NA,NA
"11203@A10","GHR-11203@A10","C26D10.3","WBGene00007744",NA,"C26D10.3, CELE_C26D10.3",NA,NA,NA
"11203@A11","GHR-11203@A11","ZK1307.7","WBGene00014248",NA,"ZK1307.7, CELE_ZK1307.7",NA,NA,NA
"11203@A12","GHR-11203@A12","ZK1127.7","WBGene00022854","cin-4","ZK1127.7, cin-4, CELE_ZK1127.7",NA,NA,NA
"11203@B01","GHR-11203@B01","F39B2.1","WBGene00009553","hinf-1","F39B2.1, hinf-1, CELE_F39B2.1",NA,NA,NA
"11203@B02","GHR-11203@B02","M01B12.4","WBGene00019697",NA,"M01B12.4, M01B12.c, M01B12.g, M01B12.f, CELE_M01B12.4",NA,NA,NA
"11203@B03","GHR-11203@B03","F45E12.6","WBGene00018476",NA,"F45E12.6, CELE_F45E12.6",NA,NA,NA
"11203@B04","GHR-11203@B04","C03H5.4","WBGene00015406",NA,"C03H5.4, CELE_C03H5.4",NA,NA,NA
"11203@B05","GHR-11203@B05","C16C8.12","WBGene00015850",NA,"C16C8.12, CELE_C16C8.12",NA,NA,NA
"11203@B06","GHR-11203@B06","C18E9.1","WBGene00000286","cal-2","C18E9.1, cal-2, CELE_C18E9.1",NA,NA,NA
"11203@B07","GHR-11203@B07","Y53F4B.36","WBGene00013175",NA,"Y53F4B.36, CELE_Y53F4B.36",NA,NA,NA
"11203@B08","GHR-11203@B08","C29F5.4","WBGene00003403","mps-1","C29F5.4, mps-1, CELE_C29F5.4",NA,NA,NA
"11203@B09","GHR-11203@B09","T08E11.3","WBGene00020359","math-40","T08E11.3, math-40, CELE_T08E11.3",NA,NA,NA
"11203@B10","GHR-11203@B10","F49E12.5","WBGene00005039","sra-13","F49E12.5, sra-13, CELE_F49E12.5",NA,NA,NA
"11203@B11","GHR-11203@B11","F13H8.8","WBGene00017441",NA,"F13H8.8, CELE_F13H8.8",NA,NA,NA
"11203@B12","GHR-11203@B12","F36H5.3","WBGene00018102","math-28","F36H5.3, math-28, CELE_F36H5.3",NA,NA,NA
"11203@C01","GHR-11203@C01","F30F8.2","WBGene00009271","glna-3","F30F8.2, glna-3, CELE_F30F8.2",NA,NA,NA
"11203@C02","GHR-11203@C02","C32E12.4","WBGene00016330",NA,"C32E12.4, B0261.e, CELE_C32E12.4",NA,NA,NA
"11203@C03","GHR-11203@C03","F52C6.12","WBGene00018669",NA,"F52C6.12, F52C6.c, CELE_F52C6.12",NA,NA,NA
"11203@C04","GHR-11203@C04","T09A5.1","WBGene00023408","cex-2","T09A5.1, cex-2, CELE_T09A5.1",NA,NA,NA
"11203@C05","GHR-11203@C05","F52C6.2","WBGene00018659",NA,"F52C6.2, F52C6.m, CELE_F52C6.2",NA,NA,NA
"11203@C06","GHR-11203@C06","Y48C3A.18","WBGene00012997",NA,"Y48C3A.18, CELE_Y48C3A.18",NA,NA,NA
"11203@C07","GHR-11203@C07","ZK177.2","WBGene00022670",NA,"ZK177.2, CELE_ZK177.2",NA,NA,NA
"11203@C08","GHR-11203@C08","F59H6.1","WBGene00019132","bath-19","F59H6.1, bath-19, CELE_F59H6.1",NA,NA,NA
"11203@C09","GHR-11203@C09","T07D3.6","WBGene00020309",NA,"T07D3.6, CELE_T07D3.6",NA,NA,NA
"11203@C10","GHR-11203@C10","C50D2.8","WBGene00016811",NA,"C50D2.8, CELE_C50D2.8",NA,NA,NA
"11203@C11","GHR-11203@C11","Y53F4B.10","WBGene00013157",NA,"Y53F4B.10, CELE_Y53F4B.10",NA,NA,NA
"11203@D01","GHR-11203@D01","C41D11.3","WBGene00016562",NA,"C41D11.3, CELE_C41D11.3",NA,NA,NA
"11203@D02","GHR-11203@D02","F10D11.6","WBGene00008652",NA,"F10D11.6, CELE_F10D11.6",NA,NA,NA
"11203@D03","GHR-11203@D03","Y53F4B.23","WBGene00013169",NA,"Y53F4B.23, CELE_Y53F4B.23",NA,NA,NA
"11203@D04","GHR-11203@D04","C03H5.7","WBGene00015409",NA,"C03H5.7, CELE_C03H5.7",NA,NA,NA
"11203@D05","GHR-11203@D05","C06C3.4","WBGene00007375",NA,"C06C3.4, CELE_C06C3.4",NA,NA,NA
"11203@D06","GHR-11203@D06","F59H5.3","WBGene00019131","bath-12","F59H5.3, bath-12, CELE_F59H5.3",NA,NA,NA
"11203@D07","GHR-11203@D07","F40B1.1","WBGene00018223","bath-13","F40B1.1, bath-13, F40B1.b, CELE_F40B1.1",NA,NA,NA
"11203@D08","GHR-11203@D08","F54D10.4","WBGene00018805",NA,"F54D10.4, CELE_F54D10.4",NA,NA,NA
"11203@D09","GHR-11203@D09","C08G5.2","WBGene00015615","fbxc-48","C08G5.2, fbxc-48, CELE_C08G5.2",NA,NA,NA
"11203@D10","GHR-11203@D10","C44B7.4","WBGene00016626","clhm-1","C44B7.4, clhm-1, CELE_C44B7.4",NA,NA,NA
"11203@D11","GHR-11203@D11","EEED8.6","WBGene00017136","ccpp-6","EEED8.6, ccpp-6, F09E5.a, CELE_EEED8.6",NA,NA,NA
"11203@D12","GHR-11203@D12","T28D9.11","WBGene00020899",NA,"T28D9.11, T28D9.a, CELE_T28D9.11",NA,NA,NA
"11203@E01","GHR-11203@E01","Y54E10BR.1","WBGene00021840",NA,"Y54E10BR.1, M01B12.e, Y54E10BR.j, CELE_Y54E10BR.1",NA,NA,NA
"11203@E02","GHR-11203@E02","M01B12.5","WBGene00019698","riok-1","M01B12.5, riok-1, M01B12.a, M01B12.b, CELE_M01B12.5",NA,NA,NA
"11203@E03","GHR-11203@E03","F40H3.2","WBGene00018250",NA,"F40H3.2, CELE_F40H3.2",NA,NA,NA
"11203@E04","GHR-11203@E04","W10G11.4","WBGene00021137",NA,"W10G11.4, CELE_W10G11.4",NA,NA,NA
"11203@E05","GHR-11203@E05","C49D10.4","WBGene00016773","oac-10","C49D10.4, oac-10, CELE_C49D10.4",NA,NA,NA
"11203@E06","GHR-11203@E06","W06A11.3","WBGene00021054","fbxb-118","W06A11.3, fbxb-118, CELE_W06A11.3",NA,NA,NA
"11203@E07","GHR-11203@E07","Y48C3A.8","WBGene00012990","sam-10","Y48C3A.8, sam-10, CELE_Y48C3A.8",NA,NA,NA
"11203@E08","GHR-11203@E08","F37B12.1","WBGene00009504",NA,"F37B12.1, CELE_F37B12.1",NA,NA,NA
"11203@E09","GHR-11203@E09","Y46G5A.15","WBGene00012906",NA,"Y46G5A.15, CELE_Y46G5A.15",NA,NA,NA
"11203@E10","GHR-11203@E10","ZK1067.3","WBGene00014209",NA,"ZK1067.3, CELE_ZK1067.3",NA,NA,NA
"11203@E11","GHR-11203@E11","ZK1240.2","WBGene00022867",NA,"ZK1240.2, CELE_ZK1240.2",NA,NA,NA
"11203@E12","GHR-11203@E12","Y43H11AL.1","WBGene00021545",NA,"Y43H11AL.1, Y43H11AL.d, CELE_Y43H11AL.1",NA,NA,NA
"11203@F01","GHR-11203@F01","T10B11.7","WBGene00020403",NA,"T10B11.7, CELE_T10B11.7",NA,NA,NA
"11203@F02","GHR-11203@F02","T05F1.6","WBGene00002027","hsr-9","T05F1.6, hsr-9, CELE_T05F1.6",NA,NA,NA
"11203@F03","GHR-11203@F03","F35H8.1","WBGene00009446",NA,"F35H8.1, CELE_F35H8.1",NA,NA,NA
"11203@F04","GHR-11203@F04","T11F1.5","WBGene00005826","srw-79","T11F1.5, srw-79, CELE_T11F1.5",NA,NA,NA
"11203@F05","GHR-11203@F05","F45C12.10","WBGene00018441","math-29","F45C12.10, math-29, CELE_F45C12.10",NA,NA,NA
"11203@F06","GHR-11203@F06","F43G6.3","WBGene00009656",NA,"F43G6.3, CELE_F43G6.3",NA,NA,NA
"11203@F07","GHR-11203@F07","T09A5.4","WBGene00011633",NA,"T09A5.4, CELE_T09A5.4",NA,NA,NA
"11203@F08","GHR-11203@F08","K10H10.6","WBGene00010762",NA,"K10H10.6, CELE_K10H10.6",NA,NA,NA
"11203@F09","GHR-11203@F09","T24E12.6","WBGene00020775",NA,"T24E12.6, CELE_T24E12.6",NA,NA,NA
"11203@F10","GHR-11203@F10","ZC204.4","WBGene00005177","srg-20","ZC204.4, srg-20, CELE_ZC204.4",NA,NA,NA
"11203@F12","GHR-11203@F12","Y51H7BR.7","WBGene00021778",NA,"Y51H7BR.7, CELE_Y51H7BR.7",NA,NA,NA
"11203@G01","GHR-11203@G01","F55A12.3","WBGene00004087","ppk-1","F55A12.3, ppk-1, CELE_F55A12.3",NA,NA,NA
"11203@G02","GHR-11203@G02","K02F2.5","WBGene00019324",NA,"K02F2.5, K02F2.c, CELE_K02F2.5",NA,NA,NA
"11203@G03","GHR-11203@G03","F29A7.3","WBGene00017913",NA,"F29A7.3, CELE_F29A7.3",NA,NA,NA
"11203@G04","GHR-11203@G04","C01G6.4","WBGene00007226",NA,"C01G6.4, CELE_C01G6.4",NA,NA,NA
"11203@G05","GHR-11203@G05","F08D12.13",NA,NA,NA,NA,NA,NA
"11203@G06","GHR-11203@G06","C17C3.3","WBGene00015889",NA,"C17C3.3, CELE_C17C3.3",NA,NA,NA
"11203@G08","GHR-11203@G08","B0047.1","WBGene00015012","bath-20","B0047.1, bath-20, CELE_B0047.1",NA,NA,NA
"11203@G09","GHR-11203@G09","F59E12.3","WBGene00019119",NA,"F59E12.3, CELE_F59E12.3",NA,NA,NA
"11203@G10","GHR-11203@G10","Y48B6A.10","WBGene00012981",NA,"Y48B6A.10, CELE_Y48B6A.10",NA,NA,NA
"11203@G11","GHR-11203@G11","H20J04.4","WBGene00019219",NA,"H20J04.4, CELE_H20J04.4",NA,NA,NA
"11203@H01","GHR-11203@H01","Y32H12A.5","WBGene00021313","paqr-2","Y32H12A.5, paqr-2, egl-25, CELE_Y32H12A.5",NA,NA,NA
"11203@H02","GHR-11203@H02","B0432.8","WBGene00015189",NA,"B0432.8, CELE_B0432.8",NA,NA,NA
"11203@H03","GHR-11203@H03","F54D12.1","WBGene00018815",NA,"F54D12.1, CELE_F54D12.1",NA,NA,NA
"11203@H04","GHR-11203@H04","ZK355.3","WBGene00022713",NA,"ZK355.3, CELE_ZK355.3",NA,NA,NA
"11203@H05","GHR-11203@H05","C40A11.2","WBGene00016545",NA,"C40A11.2, CELE_C40A11.2",NA,NA,NA
"11203@H06","GHR-11203@H06","F31E8.6","WBGene00017956",NA,"F31E8.6, CELE_F31E8.6",NA,NA,NA
"11203@H07","GHR-11203@H07","C07E3.8","WBGene00007418",NA,"C07E3.8, CELE_C07E3.8",NA,NA,NA
"11203@H08","GHR-11203@H08","C40A11.1","WBGene00016544","math-18","C40A11.1, math-18, CELE_C40A11.1",NA,NA,NA
"11203@H09","GHR-11203@H09","W06A11.4","WBGene00021055",NA,"W06A11.4, CELE_W06A11.4",NA,NA,NA
"11203@H10","GHR-11203@H10","T07H3.3","WBGene00020326","math-38","T07H3.3, math-38, CELE_T07H3.3",NA,NA,NA
"11203@H11","GHR-11203@H11","Y53F4B.20","WBGene00013166",NA,"Y53F4B.20, CELE_Y53F4B.20",NA,NA,NA
"11204@A01","GHR-11204@A01","F54D12.4","WBGene00018817",NA,"F54D12.4, CELE_F54D12.4",NA,NA,NA
"11204@A02","GHR-11204@A02","C56E6.2","WBGene00016970",NA,"C56E6.2, C56E6.f, CELE_C56E6.2",NA,NA,NA
"11204@A03","GHR-11204@A03","ZK355.2","WBGene00022712",NA,"ZK355.2, CELE_ZK355.2",NA,NA,NA
"11204@A04","GHR-11204@A04","C09F9.3","WBGene00007480","glna-1","C09F9.3, glna-1, CELE_C09F9.3",NA,NA,NA
"11204@A05","GHR-11204@A05","K05F1.6","WBGene00019408",NA,"K05F1.6, CELE_K05F1.6",NA,NA,NA
"11204@A06","GHR-11204@A06","F10G8.8","WBGene00008666",NA,"F10G8.8, CELE_F10G8.8",NA,NA,NA
"11204@A07","GHR-11204@A07","K08D12.4","WBGene00019538",NA,"K08D12.4, CELE_K08D12.4",NA,NA,NA
"11204@A10","GHR-11204@A10","Y54G2A.22","WBGene00021887","fbxc-45","Y54G2A.22, fbxc-45, Y54G2A.p, CELE_Y54G2A.22",NA,NA,NA
"11204@A11","GHR-11204@A11","Y55H10A.2","WBGene00021953",NA,"Y55H10A.2, CELE_Y55H10A.2",NA,NA,NA
"11204@A12","GHR-11204@A12","R09E10.4","WBGene00011174","acs-23","R09E10.4, acs-23, CELE_R09E10.4",NA,NA,NA
"11204@B02","GHR-11204@B02","B0228.6","WBGene00015063",NA,"B0228.6, CELE_B0228.6",NA,NA,NA
"11204@B03","GHR-11204@B03","T28D9.4","WBGene00020896",NA,"T28D9.4, CELE_T28D9.4",NA,NA,NA
"11204@B04","GHR-11204@B04","F49E12.6","WBGene00009899","efl-3","F49E12.6, efl-3, CELE_F49E12.6",NA,NA,NA
"11204@B05","GHR-11204@B05","C33B4.3","WBGene00006444","shn-1","C33B4.3, shn-1, tag-67, CELE_C33B4.3",NA,NA,NA
"11204@B06","GHR-11204@B06","C02F4.5","WBGene00007265",NA,"C02F4.5, CELE_C02F4.5",NA,NA,NA
"11204@B07","GHR-11204@B07","Y94H6A.4","WBGene00022377","gpx-4","Y94H6A.4, gpx-4, Y94H6A.g, CELE_Y94H6A.4",NA,NA,NA
"11204@B08","GHR-11204@B08","F01G10.4","WBGene00008507",NA,"F01G10.4, CELE_F01G10.4",NA,NA,NA
"11204@B10","GHR-11204@B10","T12A7.4","WBGene00011725","lips-5","T12A7.4, lips-5, CELE_T12A7.4",NA,NA,NA
"11204@B11","GHR-11204@B11","T28F3.3","WBGene00044067","hke-4.1","T28F3.3, hke-4.1, tag-230, CELE_T28F3.3",NA,NA,NA
"11204@B12","GHR-11204@B12","Y54G2A.25","WBGene00002243","lad-2","Y54G2A.25, lad-2, Y54G2A.i, Y54G2A.j, Y54G2A.k, Y54G2A.l, CELE_Y54G2A.25",NA,NA,NA
"11204@C01","GHR-11204@C01","Y57G7A.3","WBGene00021967",NA,"Y57G7A.3, CELE_Y57G7A.3",NA,NA,NA
"11204@C03","GHR-11204@C03","C17C3.12","WBGene00015894","acdh-2","C17C3.12, acdh-2, CELE_C17C3.12",NA,NA,NA
"11204@C04","GHR-11204@C04","T16A1.1","WBGene00020532","math-42","T16A1.1, math-42, CELE_T16A1.1",NA,NA,NA
"11204@C05","GHR-11204@C05","C15H7.5",NA,NA,NA,NA,NA,NA
"11204@C06","GHR-11204@C06","T08B6.1","WBGene00020351",NA,"T08B6.1, CELE_T08B6.1",NA,NA,NA
"11204@C07","GHR-11204@C07","C25A8.2","WBGene00016083",NA,"C25A8.2, CELE_C25A8.2",NA,NA,NA
"11204@C08","GHR-11204@C08","C45E5.3","WBGene00016666",NA,"C45E5.3, CELE_C45E5.3",NA,NA,NA
"11204@C09","GHR-11204@C09","C17H12.6","WBGene00015932",NA,"C17H12.6, CELE_C17H12.6",NA,NA,NA
"11204@C10","GHR-11204@C10","F13H10.5","WBGene00008776",NA,"F13H10.5, CELE_F13H10.5",NA,NA,NA
"11204@C11","GHR-11204@C11","C26B2.4","WBGene00016126","nhr-258","C26B2.4, nhr-258, CELE_C26B2.4",NA,NA,NA
"11204@C12","GHR-11204@C12","Y105C5B.8","WBGene00013649",NA,"Y105C5B.8, CELE_Y105C5B.8",NA,NA,NA
"11204@D01","GHR-11204@D01","F52C6.12","WBGene00018669",NA,"F52C6.12, F52C6.c, CELE_F52C6.12",NA,NA,NA
"11204@D02","GHR-11204@D02","F11G11.9","WBGene00017387","mpst-4","F11G11.9, mpst-4, CELE_F11G11.9",NA,NA,NA
"11204@D03","GHR-11204@D03","C03H5.2","WBGene00015404","nstp-4","C03H5.2, nstp-4, CELE_C03H5.2",NA,NA,NA
"11204@D04","GHR-11204@D04","T05C12.6","WBGene00003241","mig-5","T05C12.6, mig-5, CELE_T05C12.6",NA,NA,NA
"11204@D05","GHR-11204@D05","R13F6.3","WBGene00005712","srv-1","R13F6.3, srv-1, srg-12, CELE_R13F6.3",NA,NA,NA
"11204@D06","GHR-11204@D06","F45E4.5","WBGene00018470",NA,"F45E4.5, CELE_F45E4.5",NA,NA,NA
"11204@D07","GHR-11204@D07","C42D4.13","WBGene00016598",NA,"C42D4.13, CELE_C42D4.13",NA,NA,NA
"11204@D08","GHR-11204@D08","Y37E11AR.6","WBGene00006869","vab-2","Y37E11AR.6, vab-2, efn-1, Y37E11AR.a, Y37E11AR.f, CELE_Y37E11AR.6","Emb/Lvl",NA,"Emb/Lvl"
"11204@D09","GHR-11204@D09","M01H9.4","WBGene00019720",NA,"M01H9.4, CELE_M01H9.4",NA,NA,NA
"11204@D11","GHR-11204@D11","Y59H11AL.1","WBGene00022004","npr-22","Y59H11AL.1, npr-22, Y59H11AL.a, CELE_Y59H11AL.1",NA,NA,NA
"11204@D12","GHR-11204@D12","F19C7.4","WBGene00017594",NA,"F19C7.4, CELE_F19C7.4",NA,NA,NA
"11204@E02","GHR-11204@E02","R52.10","WBGene00020081","sdz-29","R52.10, sdz-29, bath-17, CELE_R52.10",NA,NA,NA
"11204@E03","GHR-11204@E03","B0252.3","WBGene00015088",NA,"B0252.3, CELE_B0252.3",NA,NA,NA
"11204@E04","GHR-11204@E04","C04A2.7","WBGene00001023","dnj-5","C04A2.7, dnj-5, CELE_C04A2.7",NA,NA,NA
"11204@E05","GHR-11204@E05","Y54E2A.1","WBGene00013187","npr-34","Y54E2A.1, npr-34, CELE_Y54E2A.1",NA,NA,NA
"11204@E07","GHR-11204@E07","C52D10.2",NA,NA,NA,NA,NA,NA
"11204@E08","GHR-11204@E08","B0545.4","WBGene00015247",NA,"B0545.4, CELE_B0545.4",NA,NA,NA
"11204@E09","GHR-11204@E09","C49C3.2","WBGene00008192",NA,"C49C3.2, CELE_C49C3.2",NA,NA,NA
"11204@E10","GHR-11204@E10","Y51H4A.22","WBGene00013116",NA,"Y51H4A.22, CELE_Y51H4A.22",NA,NA,NA
"11204@E11","GHR-11204@E11","Y41E3.14","WBGene00012772","srt-49","Y41E3.14, srt-49, CELE_Y41E3.14",NA,NA,NA
"11204@E12","GHR-11204@E12","W03F8.2","WBGene00020992",NA,"W03F8.2, CELE_W03F8.2",NA,NA,NA
"11204@F01","GHR-11204@F01","W10D9.2","WBGene00021130",NA,"W10D9.2, CELE_W10D9.2",NA,NA,NA
"11204@F02","GHR-11204@F02","C56E6.2","WBGene00016970",NA,"C56E6.2, C56E6.f, CELE_C56E6.2",NA,NA,NA
"11204@F03","GHR-11204@F03","C34F11.9","WBGene00001101","dsh-1","C34F11.9, dsh-1, CELE_C34F11.9",NA,NA,NA
"11204@F04","GHR-11204@F04","C34F11.9","WBGene00001101","dsh-1","C34F11.9, dsh-1, CELE_C34F11.9",NA,NA,NA
"11204@F05","GHR-11204@F05","ZK669.1","WBGene00014051","spv-1","ZK669.1, spv-1, tag-341, rga-7, CELE_ZK669.1",NA,NA,NA
"11204@F06","GHR-11204@F06","T13A10.9","WBGene00005742","srv-31","T13A10.9, srv-31, CELE_T13A10.9",NA,NA,NA
"11204@F07","GHR-11204@F07","R102.8","WBGene00011295",NA,"R102.8, CELE_R102.8",NA,NA,NA
"11204@F08","GHR-11204@F08","Y37E11B.9","WBGene00021380",NA,"Y37E11B.9, CELE_Y37E11B.9",NA,NA,NA
"11204@F09","GHR-11204@F09","R102.6","WBGene00011293",NA,"R102.6, CELE_R102.6",NA,NA,NA
"11204@F10","GHR-11204@F10","F42A6.1","WBGene00018323",NA,"F42A6.1, CELE_F42A6.1",NA,NA,NA
"11204@F11","GHR-11204@F11","C18H7.2","WBGene00002140","inx-18","C18H7.2, inx-18, opu-18, CELE_C18H7.2",NA,NA,NA
"11204@F12","GHR-11204@F12","Y116A8C.5","WBGene00013786","nep-24","Y116A8C.5, nep-24, CELE_Y116A8C.5",NA,NA,NA
"11204@G01","GHR-11204@G01","R03C1.1","WBGene00010987",NA,"R03C1.1, CELE_R03C1.1",NA,NA,NA
"11204@G02","GHR-11204@G02","F12E12.7","WBGene00017408","sdz-11","F12E12.7, sdz-11, fbxb-89, CELE_F12E12.7",NA,NA,NA
"11204@G03","GHR-11204@G03","F55C12.1","WBGene00018869","rfip-1","F55C12.1, rfip-1, CELE_F55C12.1",NA,NA,NA
"11204@G05","GHR-11204@G05","ZK669.1","WBGene00014051","spv-1","ZK669.1, spv-1, tag-341, rga-7, CELE_ZK669.1",NA,NA,NA
"11204@G06","GHR-11204@G06","ZK381.3","WBGene00022726","nhr-249","ZK381.3, nhr-249, CELE_ZK381.3",NA,NA,NA
"11204@G07","GHR-11204@G07","F49F1.10","WBGene00018650",NA,"F49F1.10, CELE_F49F1.10",NA,NA,NA
"11204@G08","GHR-11204@G08","T21D12.5","WBGene00005487","srh-282","T21D12.5, srh-282, CELE_T21D12.5",NA,NA,NA
"11204@G09","GHR-11204@G09","K01H12.3","WBGene00003629","nhr-38","K01H12.3, nhr-38, CELE_K01H12.3",NA,NA,NA
"11204@G10","GHR-11204@G10","C49C8.2","WBGene00016766",NA,"C49C8.2, CELE_C49C8.2",NA,NA,NA
"11204@G11","GHR-11204@G11","R102.5","WBGene00011292",NA,"R102.5, CELE_R102.5",NA,NA,NA
"11204@H01","GHR-11204@H01","T05C1.4","WBGene00020251","camt-1","T05C1.4, camt-1, CELE_T05C1.4",NA,NA,NA
"11204@H02","GHR-11204@H02","C23H3.9","WBGene00016022",NA,"C23H3.9, CELE_C23H3.9",NA,NA,NA
"11204@H03","GHR-11204@H03","Y59C2A.1","WBGene00021984",NA,"Y59C2A.1, CELE_Y59C2A.1",NA,NA,NA
"11204@H04","GHR-11204@H04","C17G10.4","WBGene00000383","cdc-14","C17G10.4, cdc-14, cdc14, CELE_C17G10.4",NA,NA,NA
"11204@H05","GHR-11204@H05","D2030.10","WBGene00000084","aex-1","D2030.10, aex-1, CELE_D2030.10",NA,NA,NA
"11204@H06","GHR-11204@H06","Y105C5A.15","WBGene00013639",NA,"Y105C5A.15, CELE_Y105C5A.15",NA,NA,NA
"11204@H07","GHR-11204@H07","M7.3","WBGene00000246","bcc-1","M7.3, bcc-1, CELE_M7.3",NA,NA,NA
"11204@H08","GHR-11204@H08","Y77E11A.8","WBGene00022311",NA,"Y77E11A.8, CELE_Y77E11A.8",NA,NA,NA
"11204@H09","GHR-11204@H09","T27E7.4","WBGene00012089",NA,"T27E7.4, CELE_T27E7.4",NA,NA,NA
"11204@H10","GHR-11204@H10","W09G12.8","WBGene00021122",NA,"W09G12.8, CELE_W09G12.8",NA,NA,NA
"11204@H11","GHR-11204@H11","H21P03.3","WBGene00004892","sms-1","H21P03.3, sms-1, CELE_H21P03.3",NA,NA,NA
"11205@A01","GHR-11205@A01","F58H7.7","WBGene00019072","fbxc-8","F58H7.7, fbxc-8, CELE_F58H7.7",NA,NA,NA
"11205@A02","GHR-11205@A02","H21P03.3","WBGene00004892","sms-1","H21P03.3, sms-1, CELE_H21P03.3",NA,NA,NA
"11205@A03","GHR-11205@A03","C07G1.4","WBGene00006957","wsp-1","C07G1.4, wsp-1, CELE_C07G1.4",NA,NA,NA
"11205@A04","GHR-11205@A04","Y105E8A.8","WBGene00013669",NA,"Y105E8A.8, Y105E8E.g, Y105E8E.h, Y105E8E.i, CELE_Y105E8A.8",NA,NA,NA
"11205@A05","GHR-11205@A05","T06C12.9","WBGene00011516",NA,"T06C12.9, CELE_T06C12.9",NA,NA,NA
"11205@A06","GHR-11205@A06","C18D4.3","WBGene00007673",NA,"C18D4.3, CELE_C18D4.3",NA,NA,NA
"11205@A07","GHR-11205@A07","Y17D7B.5","WBGene00012453",NA,"Y17D7B.5, CELE_Y17D7B.5",NA,NA,NA
"11205@A09","GHR-11205@A09","F57B1.7",NA,NA,NA,NA,NA,NA
"11205@A10","GHR-11205@A10","Y60A3A.16","WBGene00013364",NA,"Y60A3A.16, CELE_Y60A3A.16",NA,NA,NA
"11205@A11","GHR-11205@A11","R13H4.7","WBGene00011265",NA,"R13H4.7, CELE_R13H4.7",NA,NA,NA
"11205@A12","GHR-11205@A12","T16A9.3","WBGene00011793",NA,"T16A9.3, CELE_T16A9.3",NA,NA,NA
"11205@B01","GHR-11205@B01","T07G12.3","WBGene00011594",NA,"T07G12.3, CELE_T07G12.3",NA,NA,NA
"11205@B02","GHR-11205@B02","T23B5.3","WBGene00011940",NA,"T23B5.3, CELE_T23B5.3",NA,NA,NA
"11205@B03","GHR-11205@B03","C42C1.4","WBGene00016582",NA,"C42C1.4, CELE_C42C1.4",NA,NA,NA
"11205@B04","GHR-11205@B04","T08D2.4","WBGene00011609",NA,"T08D2.4, CELE_T08D2.4",NA,NA,NA
"11205@B06","GHR-11205@B06","T27E4.5","WBGene00020863",NA,"T27E4.5, CELE_T27E4.5",NA,NA,NA
"11205@B07","GHR-11205@B07","W02D7.8","WBGene00020943",NA,"W02D7.8, CELE_W02D7.8",NA,NA,NA
"11205@B08","GHR-11205@B08","W02H5.3","WBGene00020958",NA,"Suppressed, W02H5.3",NA,NA,NA
"11205@B09","GHR-11205@B09","C45H4.11","WBGene00016693","srbc-20","C45H4.11, srbc-20, CELE_C45H4.11",NA,NA,NA
"11205@B10","GHR-11205@B10","F49H6.9","WBGene00009910","srz-92","F49H6.9, srz-92, CELE_F49H6.9",NA,NA,NA
"11205@B11","GHR-11205@B11","C31B8.2","WBGene00016280",NA,"C31B8.2, CELE_C31B8.2",NA,NA,NA
"11205@B12","GHR-11205@B12","C29F3.6","WBGene00005949","srx-58","C29F3.6, srx-58, CELE_C29F3.6",NA,NA,NA
"11205@C01","GHR-11205@C01","C01B10.1","WBGene00001091","drh-2","C01B10.1, drh-2, CELE_C01B10.1",NA,NA,NA
"11205@C02","GHR-11205@C02","F49E8.1","WBGene00018635","nprl-2","F49E8.1, nprl-2, CELE_F49E8.1",NA,NA,NA
"11205@C03","GHR-11205@C03","ZK897.1","WBGene00006767","unc-31","ZK897.1, unc-31, egl-22, CELE_ZK897.1",NA,NA,NA
"11205@C04","GHR-11205@C04","F55C9.11","WBGene00010107",NA,"F55C9.11, CELE_F55C9.11",NA,NA,NA
"11205@C05","GHR-11205@C05","W03F9.3","WBGene00021001",NA,"W03F9.3, CELE_W03F9.3",NA,NA,NA
"11205@C06","GHR-11205@C06","Y38H6C.3","WBGene00012616","dct-14","Y38H6C.3, dct-14, CELE_Y38H6C.3",NA,NA,NA
"11205@C07","GHR-11205@C07","R10E8.2","WBGene00011208",NA,"R10E8.2, CELE_R10E8.2",NA,NA,NA
"11205@C08","GHR-11205@C08","Y102A5C.17","WBGene00013622","clec-238","Y102A5C.17, clec-238, CELE_Y102A5C.17",NA,NA,NA
"11205@C09","GHR-11205@C09","T03F7.3","WBGene00005269","srh-46","T03F7.3, srh-46, CELE_T03F7.3",NA,NA,NA
