"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"11027@F11","GHR-11027@F11","R07G3.2","WBGene00019939","lips-17","R07G3.2, lips-17, CELE_R07G3.2",NA,NA,NA
"11027@F12","GHR-11027@F12","Y38E10A.19","WBGene00012597","nhr-235","Y38E10A.19, nhr-235, CELE_Y38E10A.19",NA,NA,NA
"11027@G01","GHR-11027@G01","T09A5.6","WBGene00007014","mdt-10","T09A5.6, mdt-10, CELE_T09A5.6",NA,NA,NA
"11027@G02","GHR-11027@G02","ZK892.7","WBGene00014131","sdz-38","ZK892.7, sdz-38, CELE_ZK892.7",NA,NA,NA
"11027@G03","GHR-11027@G03","R05H5.7","WBGene00011041",NA,"R05H5.7, CELE_R05H5.7",NA,NA,NA
"11027@G04","GHR-11027@G04","F56D1.6","WBGene00023407","cex-1","F56D1.6, cex-1, CELE_F56D1.6",NA,NA,NA
"11027@G05","GHR-11027@G05","R07C3.5","WBGene00019921","fbxc-34","R07C3.5, fbxc-34, CELE_R07C3.5",NA,NA,NA
"11027@G06","GHR-11027@G06","F37B1.2","WBGene00001760","gst-12","F37B1.2, gst-12, CELE_F37B1.2",NA,NA,NA
"11027@G07","GHR-11027@G07","ZK930.4","WBGene00014154",NA,"ZK930.4, CELE_ZK930.4",NA,NA,NA
"11027@G08","GHR-11027@G08","Y53F4B.33","WBGene00001787","gst-39","Y53F4B.33, gst-39, CELE_Y53F4B.33",NA,NA,NA
"11027@G09","GHR-11027@G09","W06A11.1","WBGene00021052",NA,"W06A11.1, CELE_W06A11.1",NA,NA,NA
"11027@G10","GHR-11027@G10","F35D11.10","WBGene00018050","clec-139","F35D11.10, clec-139, CELE_F35D11.10",NA,NA,NA
"11027@G11","GHR-11027@G11","K07E8.3","WBGene00019495","sdz-24","K07E8.3, sdz-24, CELE_K07E8.3",NA,NA,NA
"11027@H01","GHR-11027@H01","F46F5.16","WBGene00018507",NA,"F46F5.16, CELE_F46F5.16",NA,NA,NA
"11027@H02","GHR-11027@H02","R03D7.6","WBGene00001753","gst-5","R03D7.6, gst-5, CELE_R03D7.6",NA,NA,NA
"11027@H03","GHR-11027@H03","F53A10.1",NA,NA,NA,NA,NA,NA
"11027@H04","GHR-11027@H04","ZC239.4","WBGene00022567",NA,"ZC239.4, CELE_ZC239.4",NA,NA,NA
"11027@H05","GHR-11027@H05","F35C11.6","WBGene00009405",NA,"F35C11.6, CELE_F35C11.6",NA,NA,NA
"11027@H06","GHR-11027@H06","W10G11.3","WBGene00021136",NA,"W10G11.3, CELE_W10G11.3",NA,NA,NA
"11027@H08","GHR-11027@H08","B0034.1","WBGene00015002",NA,"B0034.1, CELE_B0034.1",NA,NA,NA
"11027@H09","GHR-11027@H09","AH6.3","WBGene00007081",NA,"AH6.3, CELE_AH6.3",NA,NA,NA
"11027@H10","GHR-11027@H10","W10G11.15","WBGene00021145","clec-129","W10G11.15, clec-129, CELE_W10G11.15",NA,NA,NA
"11027@H11","GHR-11027@H11","B0281.6","WBGene00015113",NA,"B0281.6, CELE_B0281.6",NA,NA,NA
"11028@A01","GHR-11028@A01","W10G11.2","WBGene00021135",NA,"W10G11.2, CELE_W10G11.2",NA,NA,NA
"11028@A02","GHR-11028@A02","C54A12.4","WBGene00016911","drn-1","C54A12.4, drn-1, CELE_C54A12.4",NA,NA,NA
"11028@A03","GHR-11028@A03","Y46G5A.5","WBGene00012897","pisy-1","Y46G5A.5, pisy-1, CELE_Y46G5A.5",NA,NA,NA
"11028@A04","GHR-11028@A04","Y110A2AL.5","WBGene00022442",NA,"Y110A2AL.5, CELE_Y110A2AL.5",NA,NA,NA
"11028@A05","GHR-11028@A05","T14B4.4","WBGene00006636","tsp-10","T14B4.4, tsp-10, CELE_T14B4.4",NA,NA,NA
"11028@A06","GHR-11028@A06","T05A7.7","WBGene00020224",NA,"T05A7.7, CELE_T05A7.7",NA,NA,NA
"11028@A07","GHR-11028@A07","T22C8.8","WBGene00006875","vab-9","T22C8.8, vab-9, CELE_T22C8.8",NA,NA,NA
"11028@A08","GHR-11028@A08","F08G2.8","WBGene00008579",NA,"F08G2.8, CELE_F08G2.8",NA,NA,NA
"11028@A10","GHR-11028@A10","B0454.5","WBGene00015196",NA,"B0454.5, CELE_B0454.5",NA,NA,NA
"11028@A11","GHR-11028@A11","B0432.1","WBGene00015183",NA,"B0432.1, CELE_B0432.1",NA,NA,NA
"11028@A12","GHR-11028@A12","C16C4.4","WBGene00015828","math-14","C16C4.4, math-14, CELE_C16C4.4",NA,NA,NA
"11028@B01","GHR-11028@B01","T05C1.3","WBGene00020250",NA,"T05C1.3, CELE_T05C1.3",NA,NA,NA
"11028@B02","GHR-11028@B02","F28C6.5","WBGene00009205",NA,"F28C6.5, CELE_F28C6.5",NA,NA,NA
"11028@B03","GHR-11028@B03","F37B1.6","WBGene00001765","gst-17","F37B1.6, gst-17, CELE_F37B1.6",NA,NA,NA
"11028@B04","GHR-11028@B04","ZC239.15","WBGene00022573",NA,"ZC239.15, CELE_ZC239.15",NA,NA,NA
"11028@B05","GHR-11028@B05","ZK945.4","WBGene00014166",NA,"ZK945.4, CELE_ZK945.4",NA,NA,NA
"11028@B06","GHR-11028@B06","Y46G5A.11",NA,NA,NA,NA,NA,NA
"11028@B07","GHR-11028@B07","C05D12.5","WBGene00007342",NA,"C05D12.5, CELE_C05D12.5",NA,NA,NA
"11028@B08","GHR-11028@B08","Y49F6C.1","WBGene00021723","bath-8","Y49F6C.1, bath-8, CELE_Y49F6C.1",NA,NA,NA
